# Počet opakování k = 100
# Celkový čas výpočtů: 12.76 sekund
N (počet bodů)      	pi (odhad)          	Kombinovaná nejistota uC 
12589               	3.1649853046        
15848               	3.1542150429        
19952               	3.1449478749        
25118               	3.1276375508        
31622               	3.1481879704        
39810               	3.1391107762        
50118               	3.1396304721        
63095               	3.1451620572        
79432               	3.1384832309        
100000              	3.1340800000        
125892              	3.1456168780        
158489              	3.1451015528        
199526              	3.1415655103        
251188              	3.1463286463        
316227              	3.1405034991        
398107              	3.1411354234        
501187              	3.1389960234        
630957              	3.1401949737        
794328              	3.1401083683        

k = 9
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	4.0000000000        
5                   	1.6000000000        
6                   	3.3333333333        
7                   	3.4285714286        
10                  	2.8000000000        
12                  	3.0000000000        
15                  	2.4000000000        
19                  	2.7368421053        
25                  	3.2000000000        
31                  	3.2258064516        
39                  	2.9743589744        
50                  	3.2000000000        
63                  	2.8571428571        
79                  	3.4936708861        
100                 	2.9600000000        
125                 	3.1040000000        
158                 	3.2151898734        
199                 	3.1557788945        
251                 	2.8844621514        
316                 	3.0379746835        
398                 	3.2361809045        
501                 	3.2335329341        
630                 	3.2317460317        
794                 	2.9974811083        
1000                	3.1800000000        
1258                	3.1414944356        
1584                	3.0353535354        
1995                	3.1278195489        
2511                	3.0951812027        
3162                	3.1891208096        
3981                	3.1278573223        
5011                	3.1546597486        
6309                	3.1377397369        
7943                	3.1529648747        
10000               	3.1220000000        
12589               	3.1243148781        
15848               	3.1335184250        
19952               	3.1222935044        
25118               	3.1376701967        
31622               	3.1359180318        
39810               	3.1399145943        
50118               	3.1439403009        
63095               	3.1381250495        
79432               	3.1471950851        
100000              	3.1423600000        
125892              	3.1468560353        
158489              	3.1425777183        
199526              	3.1362328719        
251188              	3.1420131535        
316227              	3.1413383424        
398107              	3.1449133022        
501187              	3.1399697119        
630957              	3.1438021925        
794328              	3.1390760492        

k = 10
N                   	pi odhad            
1                   	0.0000000000        
2                   	4.0000000000        
3                   	4.0000000000        
5                   	1.6000000000        
6                   	3.3333333333        
7                   	4.0000000000        
10                  	2.8000000000        
12                  	3.0000000000        
15                  	3.4666666667        
19                  	3.5789473684        
25                  	2.7200000000        
31                  	3.3548387097        
39                  	3.4871794872        
50                  	3.3600000000        
63                  	3.0476190476        
79                  	2.9873417722        
100                 	3.2800000000        
125                 	3.2320000000        
158                 	3.1392405063        
199                 	3.0150753769        
251                 	3.1713147410        
316                 	3.1645569620        
398                 	3.2462311558        
501                 	3.2175648703        
630                 	3.1619047619        
794                 	3.1486146096        
1000                	3.0920000000        
1258                	3.1414944356        
1584                	3.1212121212        
1995                	3.0917293233        
2511                	3.1318199920        
3162                	3.1296647691        
3981                	3.1971866365        
5011                	3.1825982838        
6309                	3.1580282137        
7943                	3.1388644089        
10000               	3.1528000000        
12589               	3.1373421241        
15848               	3.1246845028        
19952               	3.1421411387        
25118               	3.1300262760        
31622               	3.1460375688        
39810               	3.1418236624        
50118               	3.1353206433        
63095               	3.1426895951        
79432               	3.1426629066        
100000              	3.1408400000        
125892              	3.1397070505        
158489              	3.1444705942        
199526              	3.1404228020        
251188              	3.1394334124        
316227              	3.1432863102        
398107              	3.1454056322        
501187              	3.1364580486        
630957              	3.1429843872        
794328              	3.1424550060        

k = 11
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	2.6666666667        
5                   	1.6000000000        
6                   	4.0000000000        
7                   	1.1428571429        
10                  	3.2000000000        
12                  	3.0000000000        
15                  	2.4000000000        
19                  	3.1578947368        
25                  	3.0400000000        
31                  	3.3548387097        
39                  	2.7692307692        
